query_x	subject_x	identity	coverage	qlength	slength	alength	bitscore	E-value	query_y	subject_y
CJJ81176_RS00005	SL1344_RS19760	32.08	95.0	440.0	466.0	452.0	261.0	2.75e-83	SL1344_RS19760	CJJ81176_RS00005
CJJ81176_RS00010	SL1344_RS19755	19.346	100.0	355.0	366.0	367.0	105.0	2.5800000000000002e-26	SL1344_RS19755	CJJ81176_RS00010
CJJ81176_RS00015	SL1344_RS19745	48.771	100.0	769.0	804.0	814.0	713.0	0.0	SL1344_RS19745	CJJ81176_RS00015
CJJ81176_RS00020	SL1344_RS15510	23.684	34.0	113.0	187.0	38.0	28.1	0.11	SL1344_RS15510	CJJ81176_RS00020
CJJ81176_RS00035	SL1344_RS17205	42.455	96.0	1495.0	1486.0	1458.0	1151.0	0.0	SL1344_RS17205	CJJ81176_RS00035
CJJ81176_RS00040	SL1344_RS10245	25.641	13.0	573.0	171.0	78.0	31.6	0.095	SL1344_RS10245	CJJ81176_RS00040
CJJ81176_RS00045	SL1344_RS17210	31.743	98.0	481.0	472.0	482.0	224.0	1.6099999999999999e-68	SL1344_RS17210	CJJ81176_RS00045
CJJ81176_RS00050	SL1344_RS01165	38.636	88.0	191.0	198.0	176.0	100.0	1.5300000000000001e-27	SL1344_RS01165	CJJ81176_RS00050
CJJ81176_RS00055	SL1344_RS02315	47.273	67.0	79.0	124.0	55.0	53.9	7.06e-12	SL1344_RS02315	CJJ81176_RS00055
CJJ81176_RS00060	SL1344_RS09625	32.812	27.0	215.0	194.0	64.0	27.7	0.55	SL1344_RS09625	CJJ81176_RS00060
CJJ81176_RS00065	SL1344_RS20090	47.126	99.0	558.0	616.0	609.0	529.0	0.0	SL1344_RS20090	CJJ81176_RS00065
CJJ81176_RS00075	SL1344_RS11965	25.641	37.0	408.0	199.0	156.0	39.3	0.000182	SL1344_RS11965	CJJ81176_RS00075
CJJ81176_RS00080	SL1344_RS02325	33.953	94.0	224.0	231.0	215.0	123.0	1.2500000000000002e-35	SL1344_RS02325	CJJ81176_RS00080
CJJ81176_RS00085	SL1344_RS09315	28.947	15.0	508.0	204.0	76.0	37.4	0.001	SL1344_RS09315	CJJ81176_RS00085
CJJ81176_RS00100	SL1344_RS19665	49.65	92.0	304.0	466.0	286.0	268.0	6.78e-88	SL1344_RS19665	CJJ81176_RS00100
CJJ81176_RS00105	SL1344_RS01695	28.62	100.0	292.0	292.0	297.0	118.0	2.04e-32	SL1344_RS01695	CJJ81176_RS00105
CJJ81176_RS00115	SL1344_RS06085	32.028	58.0	442.0	456.0	281.0	98.2	4.4699999999999996e-23	SL1344_RS06085	CJJ81176_RS00115
CJJ81176_RS00120	SL1344_RS11690	28.607	99.0	789.0	761.0	811.0	318.0	3.31e-98	SL1344_RS11690	CJJ81176_RS00120
CJJ81176_RS00125	SL1344_RS06560	31.263	96.0	461.0	463.0	467.0	194.0	1.09e-57	SL1344_RS06560	CJJ81176_RS00125
CJJ81176_RS00135	SL1344_RS15275	54.104	98.0	543.0	545.0	536.0	578.0	0.0	SL1344_RS15275	CJJ81176_RS00135
CJJ81176_RS00140	SL1344_RS15735	30.92	91.0	523.0	577.0	511.0	253.0	6.53e-78	SL1344_RS15735	CJJ81176_RS00140
CJJ81176_RS00145	SL1344_RS16065	53.846	100.0	348.0	348.0	351.0	325.0	1.99e-111	SL1344_RS16065	CJJ81176_RS00145
CJJ81176_RS00180	SL1344_RS21955	26.0	20.0	689.0	188.0	150.0	42.0	3.89e-05	SL1344_RS21955	CJJ81176_RS00180
CJJ81176_RS00195	SL1344_RS18305	51.585	99.0	556.0	580.0	568.0	585.0	0.0	SL1344_RS18305	CJJ81176_RS00195
CJJ81176_RS00200	SL1344_RS23055	29.0	22.0	1244.0	1225.0	182.0	47.8	0.013	SL1344_RS23055	CJJ81176_RS00200
CJJ81176_RS00205	SL1344_RS05115	24.468	32.0	294.0	177.0	94.0	27.3	1.1	SL1344_RS05115	CJJ81176_RS00205
CJJ81176_RS00225	SL1344_RS11410	28.288	99.0	403.0	396.0	403.0	186.0	8.1e-56	SL1344_RS11410	CJJ81176_RS00225
CJJ81176_RS00245	SL1344_RS20595	54.215	99.0	602.0	607.0	605.0	672.0	0.0	SL1344_RS20595	CJJ81176_RS00245
CJJ81176_RS00260	SL1344_RS05795	24.638	68.0	294.0	232.0	207.0	58.2	6.76e-11	SL1344_RS05795	CJJ81176_RS00260
CJJ81176_RS00270	SL1344_RS01760	27.632	12.0	622.0	247.0	76.0	29.3	0.82	SL1344_RS01760	CJJ81176_RS00270
CJJ81176_RS00285	SL1344_RS16370	57.317	74.0	111.0	484.0	82.0	103.0	3.58e-28	SL1344_RS16370	CJJ81176_RS00285
CJJ81176_RS00305	SL1344_RS06095	31.956	99.0	338.0	368.0	363.0	192.0	1.8200000000000002e-59	SL1344_RS06095	CJJ81176_RS00305
