query_x	subject_x	identity	coverage	qlength	slength	alength	bitscore	E-value	query_y	subject_y
CJJ81176_RS00005	Cj0001	99.318	100.0	440.0	440.0	440.0	885.0	0.0	Cj0001	CJJ81176_RS00005
CJJ81176_RS00010	Cj0002	99.718	100.0	355.0	355.0	355.0	703.0	0.0	Cj0002	CJJ81176_RS00010
CJJ81176_RS00015	Cj0003	99.35	100.0	769.0	769.0	769.0	1568.0	0.0	Cj0003	CJJ81176_RS00015
CJJ81176_RS00020	Cj0004c	98.23	100.0	113.0	113.0	113.0	230.0	1.0299999999999999e-81	Cj0004c	CJJ81176_RS00020
CJJ81176_RS00025	Cj0005c	100.0	100.0	412.0	412.0	412.0	843.0	0.0	Cj0005c	CJJ81176_RS00025
CJJ81176_RS00030	Cj0006	99.77	100.0	435.0	435.0	435.0	859.0	0.0	Cj0006	CJJ81176_RS00030
CJJ81176_RS00035	Cj0007	99.666	100.0	1495.0	1496.0	1495.0	3060.0	0.0	Cj0007	CJJ81176_RS00035
CJJ81176_RS00040	Cj0008	23.592	40.0	573.0	583.0	284.0	44.3	6.11e-06	Cj0008	CJJ81176_RS00040
CJJ81176_RS00045	Cj0009	97.089	100.0	481.0	481.0	481.0	964.0	0.0	Cj0009	CJJ81176_RS00045
CJJ81176_RS00050	Cj0010c	100.0	100.0	191.0	191.0	191.0	382.0	2.02e-139	Cj0010c	CJJ81176_RS00050
CJJ81176_RS00055	Cj0011c	98.734	100.0	79.0	79.0	79.0	149.0	8.8e-51	Cj0011c	CJJ81176_RS00055
CJJ81176_RS00060	Cj0012c	100.0	100.0	215.0	215.0	215.0	440.0	1.59e-161	Cj0012c	CJJ81176_RS00060
CJJ81176_RS00065	Cj0013	97.849	100.0	558.0	558.0	558.0	1114.0	0.0	Cj0013	CJJ81176_RS00065
CJJ81176_RS00070	Cj0014c	98.485	50.0	132.0	174.0	66.0	138.0	3.83e-44	Cj0014c	CJJ81176_RS00070
CJJ81176_RS00075	Cj0015c	100.0	100.0	408.0	408.0	408.0	830.0	0.0	Cj0015c	CJJ81176_RS00075
CJJ81176_RS00080	Cj0016	99.107	100.0	224.0	224.0	224.0	448.0	2.6e-164	Cj0016	CJJ81176_RS00080
CJJ81176_RS00085	Cj0017c	100.0	100.0	508.0	508.0	508.0	1036.0	0.0	Cj0017c	CJJ81176_RS00085
CJJ81176_RS00090	Cj0018c	100.0	100.0	55.0	55.0	55.0	104.0	2.3000000000000002e-33	Cj0018c	CJJ81176_RS00090
CJJ81176_RS00095	Cj0019c	99.831	100.0	592.0	592.0	592.0	1155.0	0.0	Cj0019c	CJJ81176_RS00095
CJJ81176_RS00100	Cj0020c	99.342	100.0	304.0	304.0	304.0	631.0	0.0	Cj0020c	CJJ81176_RS00100
CJJ81176_RS00105	Cj0021c	98.63	100.0	292.0	292.0	292.0	589.0	0.0	Cj0021c	CJJ81176_RS00105
CJJ81176_RS00110	Cj0022c	100.0	100.0	300.0	300.0	300.0	605.0	0.0	Cj0022c	CJJ81176_RS00110
CJJ81176_RS00115	Cj0023	100.0	100.0	442.0	442.0	442.0	910.0	0.0	Cj0023	CJJ81176_RS00115
CJJ81176_RS00120	Cj0024	99.62	100.0	789.0	789.0	789.0	1625.0	0.0	Cj0024	CJJ81176_RS00120
CJJ81176_RS00125	Cj0025c	98.698	100.0	461.0	461.0	461.0	910.0	0.0	Cj0025c	CJJ81176_RS00125
CJJ81176_RS00130	Cj0026c	100.0	100.0	207.0	207.0	207.0	429.0	3.6500000000000005e-157	Cj0026c	CJJ81176_RS00130
CJJ81176_RS00135	Cj0027	99.632	100.0	543.0	543.0	543.0	1106.0	0.0	Cj0027	CJJ81176_RS00135
CJJ81176_RS00140	Cj0028	99.618	100.0	523.0	523.0	523.0	1055.0	0.0	Cj0028	CJJ81176_RS00140
CJJ81176_RS00145	Cj0029	90.03	95.0	348.0	331.0	331.0	580.0	0.0	Cj0029	CJJ81176_RS00145
CJJ81176_RS00200	Cj0031	81.782	100.0	1244.0	1243.0	1257.0	1966.0	0.0	Cj0031	CJJ81176_RS00200
CJJ81176_RS00215	Cj0033	80.728	90.0	513.0	593.0	467.0	652.0	0.0	Cj0033	CJJ81176_RS00215
CJJ81176_RS00220	Cj0034c	97.425	100.0	233.0	233.0	233.0	456.0	3.82e-167	Cj0034c	CJJ81176_RS00220
CJJ81176_RS00225	Cj0035c	99.25	99.0	403.0	400.0	400.0	781.0	0.0	Cj0035c	CJJ81176_RS00225
CJJ81176_RS00230	Cj0036	99.555	100.0	449.0	449.0	449.0	880.0	0.0	Cj0036	CJJ81176_RS00230
CJJ81176_RS00235	Cj0037c	99.712	100.0	347.0	347.0	347.0	715.0	0.0	Cj0037c	CJJ81176_RS00235
CJJ81176_RS00240	Cj0038c	97.674	100.0	215.0	215.0	215.0	404.0	3.39e-147	Cj0038c	CJJ81176_RS00240
CJJ81176_RS00245	Cj0039c	99.502	100.0	602.0	602.0	602.0	1211.0	0.0	Cj0039c	CJJ81176_RS00245
CJJ81176_RS00250	Cj0040	97.196	100.0	107.0	107.0	107.0	196.0	2.73e-68	Cj0040	CJJ81176_RS00250
CJJ81176_RS00255	Cj0041	96.399	100.0	610.0	598.0	611.0	1116.0	0.0	Cj0041	CJJ81176_RS00255
